Label,Year,Team,Conference,Wins,Losses,Seed,Outcome
Mississippi Valley St.2003,2003,Mississippi Valley St.,SWAC,13,13,17.0,None
Saint Peter's2003,2003,Saint Peter's,MAAC,10,19,17.0,None
Central Connecticut2003,2003,Central Connecticut,NEC,15,13,17.0,None
St. Francis NY2003,2003,St. Francis NY,NEC,14,16,17.0,None
Cleveland St.2003,2003,Cleveland St.,Horz,8,22,17.0,None
Hampton2003,2003,Hampton,MEAC,19,11,17.0,None
Monmouth2003,2003,Monmouth,NEC,15,13,17.0,None
Lamar2003,2003,Lamar,Slnd,12,14,17.0,None
South Carolina St.2003,2003,South Carolina St.,MEAC,20,11,16.0,R64
Centenary2003,2003,Centenary,ind,10,14,17.0,None
Sacramento St.2003,2003,Sacramento St.,BSky,11,17,17.0,None
Lafayette2003,2003,Lafayette,Pat,11,16,17.0,None
UNC Greensboro2003,2003,UNC Greensboro,SC,6,22,17.0,None
Prairie View A&M2003,2003,Prairie View A&M,SWAC,17,12,17.0,None
Charleston Southern2003,2003,Charleston Southern,BSth,12,14,17.0,None
Southeast Missouri St.2003,2003,Southeast Missouri St.,OVC,9,19,17.0,None
Texas A&M Corpus Chris2003,2003,Texas A&M Corpus Chris,ind,11,15,17.0,None
Youngstown St.2003,2003,Youngstown St.,Horz,7,20,17.0,None
Louisiana Monroe2003,2003,Louisiana Monroe,Slnd,11,16,17.0,None
Hofstra2003,2003,Hofstra,CAA,8,21,17.0,None
St. Francis PA2003,2003,St. Francis PA,NEC,14,14,17.0,None
Alabama St.2003,2003,Alabama St.,SWAC,14,15,17.0,None
Fordham2003,2003,Fordham,A10,2,26,17.0,None
Buffalo2003,2003,Buffalo,MAC,5,23,17.0,None
Texas Southern2003,2003,Texas Southern,SWAC,18,13,16.0,R64
Coastal Carolina2003,2003,Coastal Carolina,BSth,11,15,17.0,None
Southeastern Louisiana2003,2003,Southeastern Louisiana,Slnd,9,16,17.0,None
Jacksonville2003,2003,Jacksonville,ASun,12,16,17.0,None
Delaware St.2003,2003,Delaware St.,MEAC,15,12,17.0,None
Southern Utah2003,2003,Southern Utah,MCon,9,17,17.0,None
Indiana St.2003,2003,Indiana St.,MVC,7,24,17.0,None
Jackson St.2003,2003,Jackson St.,SWAC,10,18,17.0,None
UC Riverside2003,2003,UC Riverside,BW,5,18,17.0,None
Eastern Kentucky2003,2003,Eastern Kentucky,OVC,7,17,17.0,None
Florida A&M2003,2003,Florida A&M,MEAC,17,12,17.0,None
Stony Brook2003,2003,Stony Brook,AE,11,15,17.0,None
IPFW2003,2003,IPFW,ind,9,20,17.0,None
William & Mary2003,2003,William & Mary,CAA,12,16,17.0,None
UMKC2003,2003,UMKC,MCon,9,20,17.0,None
Portland St.2003,2003,Portland St.,BSky,4,21,17.0,None
Howard2003,2003,Howard,MEAC,13,17,17.0,None
Gardner Webb2003,2003,Gardner Webb,ASun,4,24,17.0,None
Alcorn St.2003,2003,Alcorn St.,SWAC,14,19,17.0,None
Fairleigh Dickinson2003,2003,Fairleigh Dickinson,NEC,15,14,17.0,None
San Jose St.2003,2003,San Jose St.,WAC,5,21,17.0,None
Western Carolina2003,2003,Western Carolina,SC,6,18,17.0,None
UTSA2003,2003,UTSA,Slnd,9,17,17.0,None
UNC Asheville2003,2003,UNC Asheville,BSth,14,17,16.0,R64
Dartmouth2003,2003,Dartmouth,Ivy,8,19,17.0,None
Robert Morris2003,2003,Robert Morris,NEC,9,17,17.0,None
LIU Brooklyn2003,2003,LIU Brooklyn,NEC,9,19,17.0,None
Coppin St.2003,2003,Coppin St.,MEAC,11,17,17.0,None
Florida Atlantic2003,2003,Florida Atlantic,ASun,6,21,17.0,None
VMI2003,2003,VMI,SC,8,19,17.0,None
Navy2003,2003,Navy,Pat,7,19,17.0,None
The Citadel2003,2003,The Citadel,SC,4,20,17.0,None
Elon2003,2003,Elon,BSth,10,15,17.0,None
Cornell2003,2003,Cornell,Ivy,8,18,17.0,None
Norfolk St.2003,2003,Norfolk St.,MEAC,14,15,17.0,None
Long Beach St.2003,2003,Long Beach St.,BW,4,22,17.0,None
UTEP2003,2003,UTEP,WAC,5,24,17.0,None
Liberty2003,2003,Liberty,BSth,14,15,17.0,None
Grambling St.2003,2003,Grambling St.,SWAC,10,18,17.0,None
Mount St. Mary's2003,2003,Mount St. Mary's,NEC,11,16,17.0,None
Lipscomb2003,2003,Lipscomb,ind,6,19,17.0,None
Stetson2003,2003,Stetson,ASun,6,20,17.0,None
Texas Pan American2003,2003,Texas Pan American,ind,6,20,17.0,None
Sacred Heart2003,2003,Sacred Heart,NEC,7,21,17.0,None
UMBC2003,2003,UMBC,NEC,7,20,17.0,None
Northwestern St.2003,2003,Northwestern St.,Slnd,6,21,17.0,None
Western Illinois2003,2003,Western Illinois,MCon,5,21,17.0,None
High Point2003,2003,High Point,BSth,7,20,17.0,None
Chicago St.2003,2003,Chicago St.,MCon,3,27,17.0,None
Alabama A&M2003,2003,Alabama A&M,SWAC,7,18,17.0,None
New Hampshire2003,2003,New Hampshire,AE,5,23,17.0,None
Albany2003,2003,Albany,AE,7,21,17.0,None
Southern2003,2003,Southern,SWAC,7,19,17.0,None
Radford2003,2003,Radford,BSth,10,20,17.0,None
Bethune Cookman2003,2003,Bethune Cookman,MEAC,8,22,17.0,None
Loyola MD2003,2003,Loyola MD,MAAC,4,24,17.0,None
Columbia2003,2003,Columbia,Ivy,2,25,17.0,None
Towson2003,2003,Towson,CAA,4,24,17.0,None
Campbell2003,2003,Campbell,ASun,4,22,17.0,None
Maryland Eastern Shore2003,2003,Maryland Eastern Shore,MEAC,5,23,17.0,None
Morgan St.2003,2003,Morgan St.,MEAC,7,22,17.0,None
Nicholls St.2003,2003,Nicholls St.,Slnd,1,25,17.0,None
Arkansas Pine Bluff2003,2003,Arkansas Pine Bluff,SWAC,4,24,17.0,None
Army2003,2003,Army,Pat,3,22,17.0,None
Savannah St.2003,2003,Savannah St.,ind,3,23,17.0,None
Morris Brown2003,2003,Morris Brown,ind,4,20,17.0,None
Tennessee St.2003,2003,Tennessee St.,OVC,1,24,17.0,None
North Carolina A&T2003,2003,North Carolina A&T,MEAC,1,25,17.0,None
Duke2004,2004,Duke,ACC,31,6,1.0,F4
Connecticut2004,2004,Connecticut,BE,33,6,2.0,Champ
Saint Joseph's2004,2004,Saint Joseph's,A10,30,2,1.0,E8
Oklahoma St.2004,2004,Oklahoma St.,B12,31,4,2.0,F4
