,Team,Conf.,Record,#1 Match,#2 Match,#3 Match,Avg. Seed,Most Likely Seed,Made Tourney
123,UC Irvine,BW,6-4,South Florida2003,Eastern Washington2003,Mississippi St.2006,14.9,15,0.09776946665991042
124,Indiana St.,MVC,4-7,Florida Gulf Coast2013,George Washington2010,South Florida2003,14.96,15,0.1241437848802398
125,Texas A&M,SEC,7-4,UAB2007,San Diego2008,Indiana St.2012,13.68,13,0.1354367125786637
126,Kansas St.,B12,5-8,Old Dominion2008,Idaho2011,Richmond2009,14.02,13,0.10622387035975103
127,George Mason,A10,6-5,Virginia Tech2004,Manhattan2012,UC Santa Barbara2010,15.18,15,0.1050313938214894
128,UNLV,MWC,2-6,Illinois Chicago2002,Tennessee Martin2009,UNC Asheville2012,15.29,15,0.13804868378120697
129,Pepperdine,WCC,4-6,Detroit2011,Lehigh2017,San Diego2006,14.9,15,0.0701356388490502
130,Northern Iowa,MVC,3-8,Boston College2017,VCU2018,Florida Gulf Coast2018,14.05,14,0.12001439413033661
131,Eastern Washington,BSky,3-4,Cal St. Northridge2008,Georgia Southern2004,Nevada2002,14.76,15,0.070581046122344
132,Vanderbilt,SEC,4-5,SMU2002,North Texas2008,North Dakota St.2008,14.96,14,0.031257960503741564
133,Bryant,NEC,10-3,Lipscomb2018,Georgia Southern2002,Wyoming2017,14.38,15,0.18477669667898033
134,East Carolina,Amer,7-3,Oregon St.2003,South Carolina2011,UC Irvine2018,15.46,16,0.1212486315668822
135,UTEP,CUSA,6-5,New Mexico St.2011,UC Davis2018,San Francisco2018,15.58,16,0.14132791353119548
136,Kent St.,MAC,5-3,North Carolina2002,USC2014,Siena2003,15.0,15,0.053590614953437705
137,Siena,MAAC,5-0,Northern Illinois2019,Loyola Chicago2006,George Mason2005,15.2,15,0.06705478788898389
138,Santa Clara,WCC,7-3,Sam Houston St.2005,Brown2019,Nevada2016,14.76,15,0.05934880671940193
139,Northeastern,CAA,5-5,UT Arlington2013,North Texas2019,Rider2013,14.91,15,0.12504145293295515
140,Grand Canyon,WAC,7-3,Marist2008,Rutgers2005,Towson2007,15.4,16,0.09616396653838455
141,Wofford,SC,7-4,Cleveland St.2010,Montana2016,Drake2006,15.57,16,0.026493651840370672
